Title,Release_Date,release_year,Vote_Average,Popularity,Vote_Count,Original_Language,Genre,genres_list,main_genre,Overview,Poster_Url,combined_features
Spider-Man: No Way Home,2021-12-15,2021,8.3,5083.954,8940,en,"Action, Adventure, Science Fiction","['Action', 'Adventure', 'Science Fiction']",Action,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",https://image.tmdb.org/t/p/original/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,"action adventure science fiction peter parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. when he asks for help from doctor strange the stakes become even more dangerous, forcing him to discover what it truly means to be spider-man."
The Batman,2022-03-01,2022,8.1,3827.658,1151,en,"Crime, Mystery, Thriller","['Crime', 'Mystery', 'Thriller']",Crime,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",https://image.tmdb.org/t/p/original/74xTEgt7R36Fpooo50r9T25onhq.jpg,"crime mystery thriller in his second year of fighting crime, batman uncovers corruption in gotham city that connects to his own family while facing a serial killer known as the riddler."
No Exit,2022-02-25,2022,6.3,2618.087,122,en,Thriller,['Thriller'],Thriller,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",https://image.tmdb.org/t/p/original/vDHsLnOWKlPGmWs0kGfuhNF4w5l.jpg,"thriller stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper."
Encanto,2021-11-24,2021,7.7,2402.201,5076,en,"Animation, Comedy, Family, Fantasy","['Animation', 'Comedy', 'Family', 'Fantasy']",Animation,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",https://image.tmdb.org/t/p/original/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,"animation comedy family fantasy the tale of an extraordinary family, the madrigals, who live hidden in the mountains of colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an encanto. the magic of the encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, mirabel. but when she discovers that the magic surrounding the encanto is in danger, mirabel decides that she, the only ordinary madrigal, might just be her exceptional family's last hope."
The King's Man,2021-12-22,2021,7.0,1895.511,1793,en,"Action, Adventure, Thriller, War","['Action', 'Adventure', 'Thriller', 'War']",Action,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",https://image.tmdb.org/t/p/original/aq4Pwv5Xeuvj6HZKtxyd23e6bE9.jpg,"action adventure thriller war as a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them."
The Commando,2022-01-07,2022,6.6,1750.484,33,en,"Action, Crime, Thriller","['Action', 'Crime', 'Thriller']",Action,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",https://image.tmdb.org/t/p/original/pSh8MyYu5CmfyWEHzv8FEARH2zq.jpg,"action crime thriller an elite dea agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. they soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals."
Scream,2022-01-12,2022,6.8,1675.161,821,en,"Horror, Mystery, Thriller","['Horror', 'Mystery', 'Thriller']",Horror,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",https://image.tmdb.org/t/p/original/kZNHR1upJKF3eTzdgl5V8s8a4C3.jpg,"horror mystery thriller twenty-five years after a streak of brutal murders shocked the quiet town of woodsboro, a new killer has donned the ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past."
Kimi,2022-02-10,2022,6.3,1601.782,206,en,Thriller,['Thriller'],Thriller,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment.",https://image.tmdb.org/t/p/original/okNgwtxIWzGsNlR3GsOS0i0Qgbn.jpg,"thriller a tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. seeking justice, she must do the thing she fears the most: she must leave her apartment."
Fistful of Vengeance,2022-02-17,2022,5.3,1594.013,114,en,"Action, Crime, Fantasy","['Action', 'Crime', 'Fantasy']",Action,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,https://image.tmdb.org/t/p/original/3cccEF9QZgV9bLWyupJO41HSrOV.jpg,action crime fantasy a revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin kai tracks a killer to bangkok.
Eternals,2021-11-03,2021,7.2,1537.406,4726,en,Science Fiction,['Science Fiction'],Science Fiction,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",https://image.tmdb.org/t/p/original/zByhtBvX99ZiCQhac1sh9d9r6nb.jpg,"science fiction the eternals are a team of ancient aliens who have been living on earth in secret for thousands of years. when an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the deviants."
